City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Dhidhdhoo,MV,84.36,overcast clouds,6.8833,73.1,Dhidhoo beach
543,Hatillo,PR,87.78,broken clouds,18.4863,-66.8254,El Buen Hotel
548,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
550,Puerto Narino,CO,82.94,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
553,Isangel,VU,76.59,few clouds,-19.55,169.2667,Tanna Lodge
554,Fairhope,US,89.15,clear sky,30.523000000000003,-87.9033,Hampton Inn Fairhope-Mobile Bay
555,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
561,Trincomalee,LK,82.27,overcast clouds,8.5711,81.2335,Welcombe Hotel
564,Ken Caryl,US,81.01,few clouds,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
574,Sao Goncalo Do Amarante,BR,80.13,overcast clouds,-3.6072,-38.9683,Sunshine Inn
577,Piacabucu,BR,76.82,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
578,Aloleng,PH,81.61,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
579,Yambio,SS,71.17,light rain,4.5721,28.3955,Naivasha Hotel
582,Camapua,BR,82.17,broken clouds,-19.5314,-54.0439,Comercial Estrela
584,Rio Cuarto,AR,70.66,few clouds,-33.1307,-64.3499,Hotel Menossi
585,Dingle,PH,77.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
586,Macara,EC,82.65,light rain,-4.3833,-79.95,Hostal Macará
592,Maubin,MM,78.01,broken clouds,16.7333,95.65,SSB office
593,Wakema,MM,77.77,broken clouds,16.6,95.1833,AungKaDay Hotel
597,Waingapu,ID,75.06,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
600,Pokhara,NP,70.25,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
605,Uthal,PK,83.1,clear sky,25.8072,66.6219,Al-Mustafa Hotel
609,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
613,Labrea,BR,81.73,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
618,Kokopo,PG,79.39,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
623,Keti Bandar,PK,81.95,clear sky,24.1447,67.4497,Haji laloo memon house
624,Tuy Hoa,VN,76.48,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
627,Lucapa,AO,73.78,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
629,Mecca,SA,86.79,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
631,Concepcion Del Oro,MX,82.51,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
633,Bonthe,SL,80.96,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
634,Kieta,PG,81.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
635,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
637,Touros,BR,77.0,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
641,Marsh Harbour,BS,73.26,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
642,Popondetta,PG,76.15,overcast clouds,-8.7537,148.2534,Timos Transit House
644,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
645,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
647,Lakatoro,VU,80.98,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
648,Pundaguitan,PH,80.96,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
650,Mandan,US,70.81,clear sky,46.8267,-100.8896,Twin City Estates
651,Hienghene,NC,72.61,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
653,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
654,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
655,Ipu,BR,74.3,overcast clouds,-4.3222,-40.7108,Our hostel Corner
659,Tezu,IN,70.88,overcast clouds,27.9167,96.1667,Circuit House
663,Charagua,BO,71.17,overcast clouds,-19.8,-63.2167,Hotel
670,Keokuk,US,88.32,few clouds,40.3973,-91.3849,Hampton Inn Keokuk
671,Saint-Jerome,CA,77.0,scattered clouds,45.7804,-74.0036,Comfort Inn & Suites
673,Labuhan,ID,79.18,overcast clouds,-6.8844,112.2051,DoubleFAG
677,Nushki,PK,82.38,scattered clouds,29.5542,66.0215,Shams hotel
681,Kupang,ID,74.95,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
682,Mapiripan,CO,84.69,broken clouds,2.8892,-72.1256,Monserrate
683,Bud,US,88.2,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
684,Pemangkat,ID,79.29,overcast clouds,1.1667,108.9667,Ramah Kost KITA
686,Namatanai,PG,81.46,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
