City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Olafsvik,IS,2022-05-07 14:33:07,64.8945,-23.7142,43.41,83,100,17.78
115,Provideniya,RU,2022-05-07 14:33:08,64.3833,-173.3,30.38,96,99,7.76
116,Norman Wells,CA,2022-05-07 14:33:08,65.282,-126.8329,37.44,70,100,4.61
117,Katima Mulilo,NA,2022-05-07 14:33:09,-17.5,24.2667,78.85,34,93,4.05
118,Cayenne,GF,2022-05-07 14:33:09,4.9333,-52.3333,80.1,1,75,3.44
119,Tiksi,RU,2022-05-07 14:33:10,71.6872,128.8694,8.29,94,16,8.23
120,Hasaki,JP,2022-05-07 14:33:11,35.7333,140.8333,63.0,88,100,2.42
121,Abha,SA,2022-05-07 14:33:11,18.2164,42.5053,76.82,47,40,9.22
122,Sioux Lookout,CA,2022-05-07 14:33:12,50.1001,-91.917,48.27,49,75,9.22
123,Quatre Cocos,MU,2022-05-07 14:33:12,-20.2078,57.7625,78.1,79,26,14.79
124,Kainantu,PG,2022-05-07 14:33:13,-6.2887,145.8655,58.75,96,79,1.66
125,Tigre,AR,2022-05-07 14:33:13,-34.426,-58.5796,71.2,74,0,9.22
126,Luderitz,NA,2022-05-07 14:33:14,-26.6481,15.1594,63.75,57,0,29.39
127,Hami,CN,2022-05-07 14:33:14,42.8,93.45,77.34,24,1,2.73
128,Grand-Santi,GF,2022-05-07 14:29:21,4.25,-54.3833,79.03,92,98,1.92
129,Chuy,UY,2022-05-07 14:33:15,-33.6971,-53.4616,68.61,60,0,2.68
130,Port Hedland,AU,2022-05-07 14:33:15,-20.3167,118.5667,73.45,83,0,4.61
131,Sakakah,SA,2022-05-07 14:33:16,29.9697,40.2064,78.37,15,0,13.76
132,Bolkhov,RU,2022-05-07 14:33:16,53.4433,36.0044,55.72,67,99,10.02
133,Viedma,AR,2022-05-07 14:33:21,-40.8135,-62.9967,70.38,32,6,17.87
134,Arraial Do Cabo,BR,2022-05-07 14:33:22,-22.9661,-42.0278,76.96,73,40,16.11
135,Kurilsk,RU,2022-05-07 14:33:22,45.2333,147.8833,48.02,92,90,20.02
136,Paita,PE,2022-05-07 14:33:23,-5.0892,-81.1144,71.49,72,4,11.83
137,Oktyabrskoye,RU,2022-05-07 14:33:23,43.0645,44.7417,42.94,100,100,8.95
138,San Quintin,MX,2022-05-07 14:33:24,30.4833,-115.95,61.93,79,56,9.42
139,Itako,JP,2022-05-07 14:33:24,35.9333,140.55,63.05,99,100,2.57
140,Souillac,MU,2022-05-07 14:33:25,-20.5167,57.5167,77.38,78,75,4.61
141,Faanui,PF,2022-05-07 14:34:25,-16.4833,-151.75,80.83,77,12,6.33
142,Sobolevo,RU,2022-05-07 14:34:26,54.4299,31.8996,56.53,68,97,14.18
143,Karatau,KZ,2022-05-07 14:34:26,43.1667,70.4667,72.79,32,1,5.12
144,Kruisfontein,ZA,2022-05-07 14:34:27,-34.0033,24.7314,56.88,90,100,6.62
145,Ponta Do Sol,PT,2022-05-07 14:34:27,32.6667,-17.1,72.12,57,83,5.82
146,Chokurdakh,RU,2022-05-07 14:34:27,70.6333,147.9167,24.8,97,100,9.22
147,Pacific Grove,US,2022-05-07 14:33:27,36.6177,-121.9166,56.89,87,0,10.0
148,Acari,PE,2022-05-07 14:34:28,-15.4311,-74.6158,75.0,64,38,7.11
149,Jamestown,US,2022-05-07 14:32:01,42.097,-79.2353,55.02,56,0,16.11
150,Saint George,US,2022-05-07 14:29:41,37.1041,-113.5841,74.79,20,0,4.0
151,San Vicente,AR,2022-05-07 14:30:48,-26.6167,-54.1333,71.02,38,62,1.39
152,Gimli,CA,2022-05-07 14:34:29,50.6336,-96.9907,41.02,93,47,10.36
153,Bredasdorp,ZA,2022-05-07 14:34:30,-34.5322,20.0403,60.08,59,16,8.9
154,Kananga,CD,2022-05-07 14:34:30,-5.8958,22.4178,82.4,62,98,2.06
155,Bilibino,RU,2022-05-07 14:34:31,68.0546,166.4372,20.77,97,94,2.39
156,Thompson,CA,2022-05-07 14:34:31,55.7435,-97.8558,53.76,66,20,9.22
157,Torbay,CA,2022-05-07 14:34:32,47.6666,-52.7314,42.89,70,100,16.11
158,Alice Springs,AU,2022-05-07 14:34:32,-23.7,133.8833,42.35,56,0,3.44
159,Anjozorobe,MG,2022-05-07 14:34:33,-18.4,47.8667,64.08,89,73,5.39
160,Volnovakha,UA,2022-05-07 14:34:33,47.601,37.4967,56.86,44,51,10.07
161,Bethel,US,2022-05-07 14:34:34,41.3712,-73.414,50.09,79,100,10.36
162,Nanortalik,GL,2022-05-07 14:34:34,60.1432,-45.2371,40.26,73,100,3.67
163,Vysokogornyy,RU,2022-05-07 14:34:35,50.1167,139.15,31.44,93,100,4.47
164,Vitim,RU,2022-05-07 14:34:35,59.4511,112.5578,34.11,92,98,4.27
165,Puerto Del Rosario,ES,2022-05-07 14:34:36,28.5004,-13.8627,73.15,68,0,16.11
166,Flinders,AU,2022-05-07 14:31:54,-34.5833,150.8552,57.18,62,0,11.99
167,Touros,BR,2022-05-07 14:34:36,-5.1989,-35.4608,81.7,79,93,14.52
168,Bengkulu,ID,2022-05-07 14:34:37,-3.8004,102.2655,78.21,88,100,12.17
169,Harper,LR,2022-05-07 14:34:38,4.375,-7.7169,83.7,73,93,5.84
170,Ilulissat,GL,2022-05-07 14:34:38,69.2167,-51.1,28.42,54,20,2.3
171,Prince Rupert,CA,2022-05-07 14:34:39,54.3161,-130.3201,44.29,88,100,8.05
172,Mikumi,TZ,2022-05-07 14:34:39,-7.4041,36.9831,74.75,79,36,4.47
173,Vaitape,PF,2022-05-07 14:34:40,-16.5167,-151.75,80.8,77,12,6.29
174,Pangai,TO,2022-05-07 14:34:40,-19.8,-174.35,74.66,77,100,3.53
175,Yarim,YE,2022-05-07 14:34:40,14.298,44.3779,65.73,49,92,8.93
176,Show Low,US,2022-05-07 14:34:41,34.2542,-110.0298,64.0,20,0,17.27
177,Ugoofaaru,MV,2022-05-07 14:34:41,5.6667,73.0,85.19,72,100,12.33
178,Bubaque,GW,2022-05-07 14:34:42,11.2833,-15.8333,78.17,74,2,11.39
179,Trincomalee,LK,2022-05-07 14:34:42,8.5711,81.2335,79.09,67,100,7.58
180,Davlekanovo,RU,2022-05-07 14:32:20,54.2215,55.0343,53.74,50,40,1.21
181,Sur,OM,2022-05-07 14:34:43,22.5667,59.5289,89.8,50,0,11.65
182,Marzuq,YE,2022-05-07 14:34:44,14.4,46.4667,85.21,27,39,13.53
183,Turinsk,RU,2022-05-07 14:34:44,58.0458,63.696,48.25,73,93,10.85
184,Qidong,CN,2022-05-07 14:34:45,31.8128,121.6561,62.92,85,100,11.36
185,Salinopolis,BR,2022-05-07 14:34:45,-0.6136,-47.3561,79.41,86,100,8.41
186,Neiba,DO,2022-05-07 14:34:46,18.5,-71.4167,81.18,55,8,6.89
187,Inverell,AU,2022-05-07 14:34:46,-29.7833,151.1167,44.17,83,93,3.0
188,Walvis Bay,NA,2022-05-07 14:35:46,-22.9575,14.5053,62.1,62,3,25.57
189,Tuktoyaktuk,CA,2022-05-07 14:35:47,69.4541,-133.0374,28.4,93,100,5.75
190,Laguna,US,2022-05-07 14:35:47,38.421,-121.4238,57.15,83,0,6.91
191,Broken Hill,AU,2022-05-07 14:32:35,-31.95,141.4333,44.31,81,0,0.0
192,Boca Raton,US,2022-05-07 14:35:48,26.3587,-80.0831,88.02,71,40,16.11
193,Sabha,LY,2022-05-07 14:35:49,27.0377,14.4283,89.91,14,75,7.07
194,Kavaratti,IN,2022-05-07 14:35:49,10.5669,72.642,84.92,71,9,13.98
195,Necochea,AR,2022-05-07 14:31:34,-38.5473,-58.7368,67.86,53,100,12.84
196,Chincha Alta,PE,2022-05-07 14:35:50,-13.4099,-76.1323,66.79,78,32,3.71
197,Yulara,AU,2022-05-07 14:35:50,-25.2406,130.9889,51.64,43,0,8.05
198,Kattivakkam,IN,2022-05-07 14:35:51,13.2167,80.3167,88.07,87,86,7.74
199,Cherskiy,RU,2022-05-07 14:35:51,68.75,161.3,27.54,98,100,1.54
200,Grindavik,IS,2022-05-07 14:35:52,63.8424,-22.4338,48.15,71,75,21.85
201,Qaqortoq,GL,2022-05-07 14:35:53,60.7167,-46.0333,42.04,63,100,4.7
202,Alice,US,2022-05-07 14:35:53,27.7523,-98.0697,81.97,74,100,16.11
203,Lavrentiya,RU,2022-05-07 14:35:54,65.5833,-171.0,18.52,98,95,3.94
204,Mount Darwin,ZW,2022-05-07 14:35:54,-16.7725,31.5838,75.13,47,73,3.56
205,Agadez,NE,2022-05-07 14:35:55,19.75,10.25,104.16,8,70,5.55
206,Dandong,CN,2022-05-07 14:35:55,40.1292,124.3947,50.2,33,100,4.92
207,Kapit,MY,2022-05-07 14:35:56,2.0167,112.9333,76.35,97,100,0.94
208,Bintulu,MY,2022-05-07 14:35:56,3.1667,113.0333,79.21,94,40,0.0
209,Carnarvon,AU,2022-05-07 14:35:53,-24.8667,113.6333,66.27,68,17,0.0
210,Miramar,US,2022-05-07 14:35:57,25.9873,-80.2323,90.01,67,0,14.97
211,Mount Isa,AU,2022-05-07 14:35:57,-20.7333,139.5,64.17,34,0,10.36
212,Hargeysa,SO,2022-05-07 14:35:58,9.56,44.065,83.93,27,58,14.83
213,Auki,SB,2022-05-07 14:35:58,-8.7676,160.7034,78.12,89,68,4.21
214,Lompoc,US,2022-05-07 14:35:59,34.6391,-120.4579,54.79,89,100,27.0
215,Korla,CN,2022-05-07 14:35:59,41.7597,86.1469,80.46,25,40,1.66
216,Eenhana,NA,2022-05-07 14:36:00,-17.4667,16.3333,83.41,19,6,7.92
217,Belyy Yar,RU,2022-05-07 14:36:00,53.6039,91.3903,48.09,49,0,17.9
218,Antsohihy,MG,2022-05-07 14:36:01,-14.8796,47.9875,80.33,73,74,3.47
219,Broome,US,2022-05-07 14:36:01,42.2506,-75.833,53.42,38,0,11.5
220,Ahipara,NZ,2022-05-07 14:36:02,-35.1667,173.1667,56.44,82,71,3.11
221,Arlit,NE,2022-05-07 14:36:02,18.7369,7.3853,105.84,8,100,16.55
222,Chernolesskoye,RU,2022-05-07 14:36:03,44.7156,43.7133,46.58,81,100,3.29
223,Imeni Poliny Osipenko,RU,2022-05-07 14:36:05,52.4201,136.4853,30.07,90,1,5.99
