City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Belmonte,BR,-15.8631,-38.8828,75.02,76,6,7.9,clear sky
109,Lagoa,PT,39.05,-27.9833,60.57,88,89,18.48,overcast clouds
110,Sitka,US,57.0531,-135.33,44.49,70,100,8.05,moderate rain
111,San Andres,CO,12.5847,-81.7006,86.02,74,20,10.36,few clouds
112,Bluff,NZ,-46.6,168.3333,46.85,83,13,11.61,few clouds
113,Marawi,PH,7.9986,124.2928,69.57,93,100,3.2,overcast clouds
114,Pallisa,UG,1.145,33.7094,66.09,94,24,5.14,few clouds
115,Aripuana,BR,-9.1667,-60.6333,82.02,75,96,0.76,overcast clouds
116,Pacific Grove,US,36.6177,-121.9166,63.25,60,0,16.11,clear sky
117,Taoudenni,ML,22.6783,-3.9836,92.37,8,7,7.29,clear sky
118,Mount Isa,AU,-20.7333,139.5,64.17,100,100,8.05,overcast clouds
119,Uglich,RU,57.5275,38.3317,41.67,66,98,9.24,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,67.73,51,100,10.16,overcast clouds
121,Boyolangu,ID,-8.1181,111.8935,76.42,94,92,1.57,overcast clouds
122,Pandan,PH,14.0453,124.1694,78.87,86,88,6.44,overcast clouds
123,Oranjemund,NA,-28.55,16.4333,53.64,82,75,1.59,broken clouds
124,Selma,US,36.5708,-119.6121,66.22,31,16,8.59,few clouds
125,Hilo,US,19.7297,-155.09,81.28,77,75,10.36,broken clouds
126,Methoni,GR,36.8197,21.7049,63.21,77,4,5.32,clear sky
127,Arman,RU,59.7,150.1667,35.02,99,100,6.62,light snow
128,Saint George,US,37.1041,-113.5841,72.63,8,0,12.66,clear sky
129,Fort Saint James,CA,54.4333,-124.25,51.13,46,83,10.25,broken clouds
130,Byron Bay,AU,-28.65,153.6167,66.7,74,100,14.29,overcast clouds
131,Nabire,ID,-3.3667,135.4833,75.79,92,100,2.84,overcast clouds
132,Bulgan,MN,48.8125,103.5347,28.04,63,14,1.36,few clouds
133,East London,ZA,-33.0153,27.9116,65.66,50,100,6.85,overcast clouds
